Purpose,Gender,Age,Maximum Buying Capacity(in 1000s),Product Type,Services
Small Organization,F,29.21,,Laptop for Home,
Big Organization,F,24.52,,Gaming Laptop,
Big Organization,M,42.42,,Desktops for Business,
Big Organization,M,23.16,,Servers for Small Businesses,
Academic purpose,F,40.19,,Servers for Large Businesses,
Small organization,M,54.42,,Workstations for Professional Use,
Big Organization,F,42.47,,Laptop for Work,
Small organization,M,58.95,,Laptop for Home,
Small organization,F,56.07,,Gaming Laptop,
Small Organization,M,54.11,,Desktops for Business,
Gaming Purpose,M,37.48,,Servers for Small Businesses,
Academic purpose,M,33.47,,Servers for Large Businesses,
Big Organization,M,40.96,,Workstations for Professional Use,
Small organization,F,51.52,,Laptop for Work,
Academic purpose,M,44.86,,Laptop for Home,
Big Organization,F,25.55,,Gaming Laptop,
Big Organization,M,41.22,,Desktops for Business,
Big Organization,M,34.96,,Servers for Small Businesses,
Big Organization,M,37.56,,Servers for Large Businesses,
Academic purpose,F,25.64,,Workstations for Professional Use,
Big Organization,F,49,,Laptop for Work,
Small Organization,M,50.68,,Laptop for Home,
Academic purpose,M,41.54,,Gaming Laptop,
Gaming Purpose,F,33.34,,Desktops for Business,
Personal Use,M,21.69,,Servers for Small Businesses,
Big Organization,F,27.26,,Servers for Large Businesses,
Big Organization,M,38.26,,Workstations for Professional Use,
Gaming Purpose,F,37.9,,Laptop for Work,
Personal Use,F,57.46,,Laptop for Home,
Small Organization,M,29.22,,Gaming Laptop,
Big Organization,F,23.21,,Desktops for Business,
Personal Use,M,37.68,,Servers for Small Businesses,
Small Organization,M,24.73,,Servers for Large Businesses,
Personal Use,M,42.43,,Workstations for Professional Use,
Gaming Purpose,F,25.39,,Laptop for Work,
Gaming Purpose,F,59.73,,Laptop for Home,
Big Organization,M,49.73,,Gaming Laptop,
Small Organization,F,32.68,,Desktops for Business,
Small organization,M,48.82,,Servers for Small Businesses,
Personal Use,F,23.19,,Servers for Large Businesses,
Personal Use,M,28.88,,Workstations for Professional Use,
Personal Use,M,43.14,,Laptop for Work,
Big Organization,M,53.04,,Laptop for Home,
Gaming Purpose,F,31.87,,Gaming Laptop,
Small Organization,F,38.45,,Desktops for Business,
Gaming Purpose,F,57.87,,Servers for Small Businesses,
Personal Use,M,50.6,,Servers for Large Businesses,
Gaming Purpose,M,42.73,,Workstations for Professional Use,
Big Organization,F,41.91,,Laptop for Work,
Academic purpose,M,21.32,,Laptop for Home,
Big Organization,F,48.55,,Gaming Laptop,
Academic purpose,F,41.33,,Desktops for Business,
Personal Use,F,26.52,,Servers for Small Businesses,
Personal Use,F,52.84,,Servers for Large Businesses,
Big Organization,F,28.98,,Workstations for Professional Use,
Personal Use,F,22.4,,Laptop for Work,
Academic purpose,F,22.82,,Laptop for Home,
Big Organization,F,37.15,,Gaming Laptop,
Small Organization,F,46.49,,Desktops for Business,
Small organization,M,48.32,,Servers for Small Businesses,
Big Organization,F,46.09,,Servers for Large Businesses,
Big Organization,F,33.88,,Workstations for Professional Use,
Academic purpose,M,52.69,,Laptop for Work,
Big Organization,F,34.58,,Laptop for Home,
Big Organization,M,37.89,,Gaming Laptop,
Academic purpose,F,24.05,,Desktops for Business,
Big Organization,F,32.7,,Servers for Small Businesses,
Gaming Purpose,M,42.33,,Servers for Large Businesses,
Personal Use,F,41.55,,Workstations for Professional Use,
Academic purpose,F,46.56,,Laptop for Work,
Academic purpose,M,24.67,,Laptop for Home,
Personal Use,M,24.87,,Gaming Laptop,
Small organization,F,26.65,,Desktops for Business,
Personal Use,F,22.69,,Servers for Small Businesses,
Big Organization,M,22.26,,Servers for Large Businesses,
Big Organization,M,42.12,,Workstations for Professional Use,
Academic purpose,F,25.54,,Laptop for Work,
Academic purpose,M,48.65,,Laptop for Home,
Small Organization,F,33.14,,Gaming Laptop,
Academic purpose,M,46.15,,Desktops for Business,
Academic purpose,F,35.85,,Servers for Small Businesses,
Personal Use,F,25.01,,Servers for Large Businesses,
Small Organization,M,59.5,,Workstations for Professional Use,
Personal Use,M,56.67,,Laptop for Work,
Big Organization,M,39.96,,Laptop for Home,
Small organization,F,27.23,,Gaming Laptop,
Academic purpose,M,39.54,,Desktops for Business,
Academic purpose,M,24.52,,Servers for Small Businesses,
Gaming Purpose,M,24.52,,Servers for Large Businesses,
Gaming Purpose,F,52.18,,Workstations for Professional Use,
Big Organization,F,23,,Laptop for Work,
Personal Use,M,46.2,,Laptop for Home,
Small organization,F,38.95,,Gaming Laptop,
Small organization,F,37.59,,Desktops for Business,
Gaming Purpose,M,34.6,,Servers for Small Businesses,
Small organization,M,32.35,,Servers for Large Businesses,
Big Organization,M,58.94,,Workstations for Professional Use,
Personal Use,M,37.62,,Laptop for Work,
Big Organization,F,54.6,,Laptop for Home,
Academic purpose,M,39.22,,Gaming Laptop,
Personal Use,M,44.92,,Desktops for Business,
Academic purpose,F,47.28,,Servers for Small Businesses,
Small organization,M,38.26,,Servers for Large Businesses,
Personal Use,M,54.24,,Workstations for Professional Use,
Academic purpose,M,39.61,,Laptop for Work,
Small organization,F,22.01,,Laptop for Home,
Academic purpose,F,52.37,,Gaming Laptop,
Small organization,M,54.46,,Desktops for Business,
Big Organization,M,31.49,,Servers for Small Businesses,
Small Organization,F,53.11,,Servers for Large Businesses,
Small organization,F,21.73,,Workstations for Professional Use,
Small Organization,M,26.07,,Laptop for Work,
Small Organization,M,52.3,,Laptop for Home,
Personal Use,M,36.28,,Gaming Laptop,
Big Organization,M,21.65,,Desktops for Business,
Small Organization,F,22.91,,Servers for Small Businesses,
Gaming Purpose,F,40.56,,Servers for Large Businesses,
Big Organization,F,42.12,,Workstations for Professional Use,
Big Organization,F,24.47,,Laptop for Work,
Academic purpose,M,29.95,,Laptop for Home,
Big Organization,F,56.05,,Gaming Laptop,
Big Organization,F,23.6,,Desktops for Business,
Big Organization,M,36.03,,Servers for Small Businesses,
Academic purpose,M,21.81,,Servers for Large Businesses,
Gaming Purpose,F,26.29,,Workstations for Professional Use,
Big Organization,F,30.6,,Laptop for Work,
Gaming Purpose,F,37.19,,Laptop for Home,
Small Organization,F,21.24,,Gaming Laptop,
Small organization,M,39.11,,Desktops for Business,
Gaming Purpose,M,34.39,,Servers for Small Businesses,
Big Organization,M,42.33,,Servers for Large Businesses,
Personal Use,F,40.64,,Workstations for Professional Use,
Gaming Purpose,M,50.07,,Laptop for Work,
Academic purpose,M,25.13,,Laptop for Home,
Personal Use,F,40.84,,Gaming Laptop,
Personal Use,M,23.55,,Desktops for Business,
Personal Use,F,58.01,,Servers for Small Businesses,
Big Organization,M,31.35,,Servers for Large Businesses,
Personal Use,M,55.64,,Workstations for Professional Use,
Big Organization,M,59.15,,Laptop for Work,
Small organization,M,46.53,,Laptop for Home,
Big Organization,M,22.48,,Gaming Laptop,
Small Organization,M,45.63,,Desktops for Business,
Personal Use,M,50.75,,Servers for Small Businesses,
Academic purpose,M,42.52,,Servers for Large Businesses,
Academic purpose,F,45.38,,Workstations for Professional Use,
Big Organization,M,42.28,,Laptop for Work,
Small Organization,F,47.32,,Laptop for Home,
Small Organization,M,57.59,,Gaming Laptop,
Gaming Purpose,F,48.73,,Desktops for Business,
Small organization,M,52.02,,Servers for Small Businesses,
Small organization,F,28.95,,Servers for Large Businesses,
Big Organization,F,29.64,,Workstations for Professional Use,
Small Organization,F,58.66,,Laptop for Work,
Small Organization,F,36.84,,Laptop for Home,
Academic purpose,M,43.38,,Gaming Laptop,
Small Organization,F,37.36,,Desktops for Business,
Gaming Purpose,F,42.16,,Servers for Small Businesses,
Big Organization,M,50.71,,Servers for Large Businesses,
Academic purpose,F,30.51,,Workstations for Professional Use,
Big Organization,F,46.67,,Laptop for Work,
Small organization,M,43.62,,Laptop for Home,
Small organization,M,25.15,,Gaming Laptop,
Gaming Purpose,F,36.84,,Desktops for Business,
Gaming Purpose,M,47.27,,Servers for Small Businesses,
Big Organization,F,48.33,,Servers for Large Businesses,
Personal Use,F,22.67,,Workstations for Professional Use,
Big Organization,M,40.05,,Laptop for Work,
Academic purpose,M,33.11,,Laptop for Home,
Small Organization,M,40.95,,Gaming Laptop,
Big Organization,M,22.29,,Desktops for Business,
Small Organization,F,46.43,,Servers for Small Businesses,
Small Organization,F,21.93,,Servers for Large Businesses,
Big Organization,F,25.04,,Workstations for Professional Use,
Academic purpose,M,56.09,,Laptop for Work,
Personal Use,M,32.42,,Laptop for Home,
Small Organization,F,35.73,,Gaming Laptop,
Small organization,F,42.55,,Desktops for Business,
Small Organization,F,33.61,,Servers for Small Businesses,
Small organization,F,42.13,,Servers for Large Businesses,
Big Organization,F,42.27,,Workstations for Professional Use,
Big Organization,M,37.33,,Laptop for Work,
Small organization,F,34.44,,Laptop for Home,
Small organization,M,50.76,,Gaming Laptop,
Small organization,M,52.56,,Desktops for Business,
Personal Use,F,30.61,,Servers for Small Businesses,
Academic purpose,F,54.67,,Servers for Large Businesses,
Gaming Purpose,M,23.18,,Workstations for Professional Use,
Personal Use,F,23.41,,Laptop for Work,
Gaming Purpose,M,23.52,,Laptop for Home,
Gaming Purpose,F,26.41,,Gaming Laptop,
Small Organization,F,50.41,,Desktops for Business,
Personal Use,M,32.86,,Servers for Small Businesses,
Big Organization,M,55.56,,Servers for Large Businesses,
Small organization,M,32.31,,Workstations for Professional Use,
Academic purpose,M,57.08,,Laptop for Work,
Academic purpose,M,26.75,,Laptop for Home,
Big Organization,F,29.14,,Gaming Laptop,
Gaming Purpose,M,51.99,,Desktops for Business,
Small organization,M,54.98,,Servers for Small Businesses,
Big Organization,F,33.16,,Servers for Large Businesses,
Small organization,F,41.06,,Workstations for Professional Use,
Big Organization,F,59.61,,Laptop for Work,
Big Organization,F,45.55,,Laptop for Home,
Big Organization,F,25.94,,Gaming Laptop,
Small organization,F,51.01,,Desktops for Business,
Big Organization,M,43.35,,Servers for Small Businesses,
Personal Use,M,39.35,,Servers for Large Businesses,
Small organization,M,22.21,,Workstations for Professional Use,
Big Organization,F,57.05,,Laptop for Work,
Small Organization,M,24.9,,Laptop for Home,
Academic purpose,M,36.59,,Gaming Laptop,
Big Organization,M,23.87,,Desktops for Business,
Big Organization,M,37.17,,Servers for Small Businesses,
Gaming Purpose,F,39.97,,Servers for Large Businesses,
Small organization,M,46.63,,Workstations for Professional Use,
Gaming Purpose,F,37.05,,Laptop for Work,
Small Organization,F,46.71,,Laptop for Home,
Small organization,M,40.77,,Gaming Laptop,
Small Organization,F,29.44,,Desktops for Business,
Academic purpose,M,52.68,,Servers for Small Businesses,
Personal Use,F,42.92,,Servers for Large Businesses,
Personal Use,M,32.55,,Workstations for Professional Use,
Gaming Purpose,F,32.18,,Laptop for Work,
Big Organization,M,26.94,,Laptop for Home,
Big Organization,F,21.44,,Gaming Laptop,
Personal Use,F,54.05,,Desktops for Business,
Personal Use,M,52.59,,Servers for Small Businesses,
Gaming Purpose,M,56.78,,Servers for Large Businesses,
Big Organization,F,35.81,,Workstations for Professional Use,
Academic purpose,F,41.05,,Laptop for Work,
Gaming Purpose,F,58.61,,Laptop for Home,
Small Organization,M,48.4,,Gaming Laptop,
Gaming Purpose,M,21.95,,Desktops for Business,
Big Organization,M,40.82,,Servers for Small Businesses,
Small organization,M,46.77,,Servers for Large Businesses,
Big Organization,F,48.79,,Workstations for Professional Use,
Big Organization,F,51.65,,Laptop for Work,
Academic purpose,F,36.67,,Laptop for Home,
Gaming Purpose,F,22.78,,Gaming Laptop,
Small Organization,F,31.2,,Desktops for Business,
Big Organization,F,40.14,,Servers for Small Businesses,
Personal Use,F,45.41,,Servers for Large Businesses,
Academic purpose,F,59.97,,Workstations for Professional Use,
Small organization,F,31.63,,Laptop for Work,
Small organization,M,38.49,,Laptop for Home,
Gaming Purpose,M,58.87,,Gaming Laptop,
Academic purpose,F,45.82,,Desktops for Business,
Academic purpose,F,51.36,,Servers for Small Businesses,
Big Organization,M,58.19,,Servers for Large Businesses,
Gaming Purpose,F,24.4,,Workstations for Professional Use,
Academic purpose,F,52.43,,Laptop for Work,
Big Organization,M,37.43,,Laptop for Home,
Academic purpose,F,51.62,,Gaming Laptop,
Personal Use,F,59.36,,Desktops for Business,
Big Organization,F,44.07,,Servers for Small Businesses,
Small organization,M,58.15,,Servers for Large Businesses,
Big Organization,F,48.54,,Workstations for Professional Use,
Small organization,M,41.63,,Laptop for Work,
Gaming Purpose,F,52.64,,Laptop for Home,
Personal Use,F,49.59,,Gaming Laptop,
Small Organization,M,58.6,,Desktops for Business,
Small Organization,M,58.1,,Servers for Small Businesses,
Gaming Purpose,F,41.17,,Servers for Large Businesses,
Big Organization,M,30.09,,Workstations for Professional Use,
Gaming Purpose,M,51.85,,Laptop for Work,
Small organization,M,34.18,,Laptop for Home,
Big Organization,M,40.33,,Gaming Laptop,
Personal Use,F,41.75,,Desktops for Business,
Academic purpose,M,56.22,,Servers for Small Businesses,
Small organization,M,26.29,,Servers for Large Businesses,
Big Organization,M,50.96,,Workstations for Professional Use,
Small organization,F,52.95,,Laptop for Work,
Personal Use,M,21.05,,Laptop for Home,
Gaming Purpose,F,46.38,,Gaming Laptop,
Personal Use,F,24.5,,Desktops for Business,
Small organization,F,55.81,,Servers for Small Businesses,
Small Organization,M,31.55,,Servers for Large Businesses,
Big Organization,M,42.39,,Workstations for Professional Use,
Small organization,F,38.56,,Laptop for Work,
Big Organization,M,46.74,,Laptop for Home,
Academic purpose,M,55.32,,Gaming Laptop,
Gaming Purpose,F,34.81,,Desktops for Business,
Gaming Purpose,F,43.39,,Servers for Small Businesses,
Personal Use,F,45.91,,Servers for Large Businesses,
Big Organization,M,39.87,,Workstations for Professional Use,
Big Organization,M,58.11,,Laptop for Work,
Big Organization,M,37.35,,Laptop for Home,
Small organization,M,38.75,,Gaming Laptop,
Academic purpose,F,49.08,,Desktops for Business,
Small organization,M,24.3,,Servers for Small Businesses,
Small Organization,M,47.47,,Servers for Large Businesses,
Academic purpose,F,34.45,,Workstations for Professional Use,
Academic purpose,F,48.74,,Laptop for Work,
Gaming Purpose,F,54.4,,Laptop for Home,
Small Organization,F,31.92,,Gaming Laptop,
Small organization,M,46.48,,Desktops for Business,
Academic purpose,F,43.01,,Servers for Small Businesses,
Big Organization,F,29.94,,Servers for Large Businesses,
Academic purpose,M,55.49,,Workstations for Professional Use,
Academic purpose,F,34.06,,Laptop for Work,
Academic purpose,F,54.96,,Laptop for Home,
Big Organization,F,41.47,,Gaming Laptop,
Small Organization,F,36.14,,Desktops for Business,
Small Organization,F,38.7,,Servers for Small Businesses,
Big Organization,M,29.04,,Servers for Large Businesses,
Gaming Purpose,F,57.06,,Workstations for Professional Use,
Small Organization,F,37.44,,Laptop for Work,
Big Organization,M,47.65,,Laptop for Home,
Gaming Purpose,F,45.59,,Gaming Laptop,
Small organization,M,58.78,,Desktops for Business,
Big Organization,F,54.13,,Servers for Small Businesses,
Big Organization,F,52.45,,Servers for Large Businesses,
Small Organization,M,28.34,,Workstations for Professional Use,
Small organization,F,23.23,,Laptop for Work,
Small organization,M,31.56,,Laptop for Home,
Big Organization,F,29.36,,Gaming Laptop,
Gaming Purpose,F,36.92,,Desktops for Business,
Big Organization,M,58.04,,Servers for Small Businesses,
Personal Use,F,41.25,,Servers for Large Businesses,
Gaming Purpose,F,36.97,,Workstations for Professional Use,
Small Organization,F,52.33,,Laptop for Work,
Small organization,F,31.3,,Laptop for Home,
